Data,Sentiment
লাইফ এ দেখা বেসট নাটকের ভিতর একটা এটা,1
শেষের দিকে নামাজের নিরদেশনা নিশো ভাই সব সময়ই সেরা,1
কমেনট পড়তে পড়তে নাটকটাই ভালো করে দেখা হল না,0
নিশো তোমায় অনেক অনেক ভালোবাসি,1
অসাধারণ একটা নাটক শেষে দিয়ে ইমোশনাল করে ফেলছে,1
বালের নাটক করেফালতু পরিচালক,0
শালির ঘরের শালি মজা বুঝিস না,0
জেরিন চরিতরটা অনেক ভালো কোন সবারথ নেই,1
অখাদয টাইফের নাটক কার কি চরিতর কেউই জানেনা,0
ফালতু যততসব পরকিয়ার ধানদ,0
নামাজ নিয়ে কথা বলাই অনেক ভালো লাগলো,1
নাটকের মাঝে এড দেয় কেন বাল,0
এই রকম অতযাচার আমার সাথে ও হইছে,0
 জন মাসটার ছাতরীর বাড়িতে জগরা বিষয় টা বাজে লাগলো,0
ওই শালা টাকা খরচ করে এমবি কিনে এড দেখবো শালা,0
বাংলাদেশ আর আচোদা নাটকের লাইগা কবে যুদধপরাধী আললাই জানে,0
আরফান নিশো তানজিন তিশা জুটিটা অনেক সুনদর,1
নাটকের সংলাপ গুলা অসমভব সুনদর ছিলো,1
ফালতু নাটক এইসব নাটক আমাদের সমাজ কে দংশ করে দিতেছে,0
অসাধারণ একটি নাটক আরফান নিশো ভাই,1
তিসার নেকামি একটু বেশি হয়ে গেল এ নাটকে,0
বাসতবতা থেকে তুলে আনা হৃদয় ছোয়া গলপভাললাগছে,1
শামীম ভাই যেখানে আছে নাটক সুপার,1
এই নাটকের নাম দেওয়া উচিত আছিলো ফালতু,0
শিহাব ভাই মানে নতুন কিছু,1
শিহাব শাহিন ভাই আপনার কথা কি বলবো আপনি একটা জিনিস,1
সমপরণ নাটকটার সাথে শেষটাও অসাধারন ছিল,1
আমি বুঝিনা অপূরব  এতো ভাল নাটক কিভাবে করে অপূরব,1
মোশারফের অভিনয় একদম বাজে লাগলো,0
শালির ঘরের শালি মজা বুঝিস না,0
নামাযকে গুরুতব দেওয়ার বিষয়টা খুব ভালো লাগছে,1
নাটক আমার কাছে  ভালো লাগলো,1
আমার ভালোবাসা    করে নিজের কাছেই রেখে দিছি,1
ভিডিও কোয়ালিটি খোব ভাল ছিল,1
নাটকটা কি বুজাতে চাইলোবুজলাম না বিষয়টা,0
ছি ছি ছি নোংরা চু যতসব বাল ছাল,0
ছাতরীর অভিনয় টা ফালতু অতিরিকত নেকামি করছে,0
আগের মত ফিলিংস পাচছি নাকেন জানি ,0
বসের নাটকের গান গুলা অসাধারণ হয়,1
একটা নাটকে এত এডড আসলে আবার বালে নাটক দেখবে,0
একজন অসাধারন অভিনেতা  ভাই নিশো,1
অনেক ভাল হয়েছে অনেক দিন ধরে অপেকষা করছিলাম,1
বাজে নাটক এগুলো দেখে ছেলেরা নষট হয়,0
অপূরব হয় সেরা বরতমান রোমানটিক গুরু,1
বিশরী নাটকনিশু অনেক বেয়াদব হয়ে গেছে,0
আদনিকঅতা আমাদের বেয়াদব বানিয়েদিচে,0
রিয়াজ ভাইয়া আপনার নতুন মুভি দেখতে চাই,1
নাটক দেখলাম নাকি ফানি ভিডিও দেখলাম বুঝতে পারি নি,0
বিয়াদবীর একটা সিমা তাকা দরখার,0
তুমি আমারই নাটকে  অনেক গুলো পরিয় মুখ একসাথে দেখলাম,1
নাটকটাতে নামাজের বযপারটা অনেক ভাল লেগেছে,1
এইটা আমার বালের নাটকবালের কাহিনী বাল নাটক,0
ওপেকষায় চিলাম ভাই অনেক ভালো লাগলো,1
মেরিল পরথম আলো   এর পুরসকার টা এই জুটিটার পাওয়া উচিত,1
অসাধারন লাগলো খুব ভাল লাগলো,1
ইউটিউব এ ও আর নাটক দেখা যাবেনা এযাড এর জনয,0
এই নাটক দেখার আগে মরন ভালো ছিলো,0
বালের নাটক করসে পরি চালক এর মাইরে বাপ,0
শাহনাজ খুশি খুবই ভাল মানের অভিনেতরী,1
শামীম ভাই এর শেষের কথা গুলো ছিলো অসাধারণ,1
ঢাকনা পলিজ ঢাকএইটা কিনতু অসথির হইছে,0
ভালো জিনিস আসতে আসতে শেষ হয়ে যাচছে,0
অনেক অনেক সুনদর হইছে সো নাইস,1
অনেক ভালো একটি নাটক এক কথায়  ভালো লাগলো নাটকটি ,1
সাউনড সিসটেমটা ভালো না,0
নিশো ভাইয়ের নাটক মানে নতুন কিছু  খুব ভালো লাগছে,1
এরকম কলাসলেস নাটক আমি আগে দেখিনিঅসভয,0
এতো সুনদর একটা নাটক অনেক সময় পর দেখলাম,1
ইভানা আপুর অভিনয় অনেক ভাল হয়েছে,1
বাংলা নাটকের পোশাকগুলো দিন দিন খারাফ থেকে খারাপের দিকে যাচছে,0
অনেক সুনদর এরকম নাটক হলে আমাদের পরিবার গুলোউপকৃত হত,1
আমার সবচেয়ে পরিয় গলপ আমি সতযি অনেক কিছু জানতে পারলাম,1
দুই জনই অসাধারণ অভিনয় করছে দারুন,1
এবার করবে সে রকম মাগী খোর,0
যারা কমেনট পড়তাছেন তারাএইখানে একটা  গুতা মারে,0
ভারতীয় নাটকের মত মনে কত মনে কথা বলা শুরু করছেন,0
অসাধারণ আরিয়ান ভাইকেমনে পারেন,1
শেষ টা ভালোলাগল না   টা গলপের মতোই লাগল শেষ টা,0
এখন জুতাটা খুইলা কারে মারা উচিৎ বল,0
আমার জীবনে দেখা নাটক গুলির এটাই সেরা ,1
নাইয়িকা ভালো হয় নাই মানায় নায়,0
অনেকদিন পর এই নাটকে আলগা সিদদিকরে দেখালাম,0
আহ কি সুনদর নাটক এরকম নাটক চাই বাংলাদেশের মানুষ,1
ভালো লাগলো শাহিন সুমন ভাই,1
ভাতের জিনিস টা খুব ভালো লাগছে,1
নিশো বস আসলে আপনি একজন মারাতমক মানুষ,0
আমার লাইফে দেখা সবচেয়ে ফালতু নাটক এটা ছিল,0
অসমভব সুনদর  বাংলাদেশের নাটক খুব ভালো লাগে,1
ভাই রে আমারোও ঘুমাইতে দেয় না,0
নিজের বিয়েতে নিজে এভাবে নাচে নাকি ডিরেকটর কি পাগল নাকি,0
এমন অশলীল নাটক মনে হয় ইনডিয়াতে ও বানায় না,0
অসাধরণ আরফিন ভাই আর তানজিন তিসা,1
ফালতু নাটক নিশো ভাই একটু ভালো নাটক করেন না,0
আমার সব থেকে ভালো বনধু হল আয়না কারণ আমি যখন কাঁদি তখন সে হাসে না,1
রাইটার এবং পরিচালক দুটাই ফালতু,0
মোশারফযার নাটক আর দেখতে চাই না,0
গাঁজা খেয়ে নাটক বানাও মাদারচোদ একটা,0
মেহজাবিন তো সেইরকম এতটা ভাল অভিনয় আশা করিনি,1
নাটকটি খুব সুনদর ছিলো মনোযোগ দিয়ে দেখলাম,1
এটা নাটক কি বানায় না বানায় বুঝিনা কিছু,0
শামিম ভাই বস  শেষটা অসাধারণ,1
কোন বলদে বানাছে নাটক টা এটা কোন নাটক হল,0
কি এইডা নাটক  পুরাটাইতো ঘসা ঘসি,0
এখন মেয়েরা বদমাস টাকা জনয অনেক কিছু করতে পারে৷,0
ফালতু কনসেপটশিকষনীয় কিছু নাই নাটকে,0
তরসব কি কোন নাটক হইলো ফালতু,0
কি আজব বাপযদি আমার বাপটা এটা দেখতো,0
আমার বালের নাটক মিজাজটাই গরম হয়ে গেছে,0
নাটক টা সতযি অনেক সুনদর লাগছে,1
শেষে ফালতু আবেগের চুদনটা না দিলে কি হইতো,0
অজথা টাইম নষট করলাম একেবারে ফালতু একটা নাটক,0
ধারমিক বিষয়টা খুব ভাল লেগেছে,1
গারলফরেনডকে লযাং মেরে আটকানোটা পছনদ হইছে,0
সেই রকম খোড় সিরিজের সবচেয়ে ফালতু নাটক এইটা,0
নিশো ভাইয়ের কথা শুনতেই ভালো লাগে,1
নিশো ভাই আর তানজিন তিশা আপু কে দারুণ লাগতেছে,1
নিশো পাগলা টা ফাটাইয়া দিছে,0
জোশ একটা নাটকগলপটা খুব ভালো লাগছে,1
ফালতু একটা নাটক বাসতবতার সাতে কোন মিল নেয় বালের নাটক,0
একই কাহিনী একই ধাঁচের অভিনয় বিরকতিকর আর কত,0
নিশু ভাইয়ের মাথযার টুপি দেওয়াটা খুব ভালো লাগলো,1
এটা কি নাটক না অনয কিছু,0
খুভ ভালো লাগলো নাটক টা অনেক কিছু শিখার অাছে,1
দামি জামা পড়ে লাভ কি যদি  টাকার বরা দেখা যায়,0
এতো ফালতু নাটক জীবনেও দেখিনাই,0
ভাড়ামোর একটা লিমিট থাকা উচিত,0
বাসতবমুখী নাটক অসাধারণ,1
লাইফের দেখা সবচেয়ে লেইম নাটক,0
বলার ভাষা নাই অসাধারণ নিশুও মেহজাবিন,1
শবনম ফারিয়া একজন সসতা অভিনেতরী,0
এত গালির পরও পোষাক পরিবরতন হয় না,0
অশলীলতা ছাড়া কিছু নাইনিশোর কাছে এটা আশা করিনাই,0
আমার মত কার কার ভালো লাগছে,1
বালের ফালতু নাটকযারা বৌ রেখে পরকিয়া করে তারা পুরুষ না কাপুরুষ,0
আজাইরা  এমন মেয়ে হয় নাকি ফালতু তরকটা নাটক,0
ভালো লাগলো না নাটক টা,0
মাদার চদ রা দিন দিন নাটক এর পোশাক কি করতাছে,0
ওয়াওওওওসেই ভাললাগছে,1
কুকুরের নাম ফাহিম হবে কেনও  এটা একটা  অসুসত মনের পরিচয়,0
অসাধারণ একটা নাটকশামীম সরকার ভাই যে নাটকে আছে ঐটা   হবেই    ,1
বহুদিন  পর  রাত জেগে চরম  ফালতু একটা  নাটক  দেখলাম,0
সামনে থাইকা সরো নাইলে তুমি সহ ভেতরে ঢুইকা যাবা,0
লাসটের টুকু ভালো লাগে নাই,0
চোদনা হইতে চাইলে এইটা দেখা উচিত মাচোদরা নাটক বানায়,0
পরতযেকটা চিতরই পরাণবনতছিল,1
বরতমানে আরফান নিশো টপ হিরো,1
নাটকের মধযে এত হাগা হাগী শুরু হইছে  কেনো,0
সরাসরি  দিয়ে দিতা অশলীলতা আর কত শামীম ভাই,0
আমার দেখা সেরা নাটকের একটিঅনেক ভালো অভিনয় করেছে নিশো,1
অনেক সুনদর নাটক সুখ এবং দুঃখ মিলেই জীবন,1
অনেকদিন পর একটা ভালো মানের নাটক দেখলামখুব ভালো লেগেছে,1
কুততার বাচছা ডাকলো কেন কেটে পেলছে এটা ঠিক হয়নি,0
এক জিনিস বার বার ভাল লাগে না,0
থারডকলাস মারকা নাটকএমবি ফেরত দেমাদারি অককল,0
যে নাটকে ধন দাড়াযসেই নাটক বাংলাতে চলবে না,0
নাটক টার নাম তুমি আমার না হয়ে বাবুল সিং হলে ভালো হতো,1
এই সব বালের নাটক কে বানায় রে ভাই ফাউল,0
খুব সুনদর হয়েছে আমি নাটকের সেষ পানতে খুব কেঁদেছি,1
কমন ষটোরি কিনতু অভিনয় অসাধারণ,1
আমার অপূরবর নাটক ভালো লাগে না,0
যেমন গলপ তেমন আভিনয়আসাধারণ,1
আরো নাটক দেখতে চাই অপূরব ও তানজিন তিশার,1
ফালতু নাটক বাল টাইমডাই নষট,0
ফালতু সকরিপট ফালতু কাহিনী,0
কারন আমার সময়টা নসট করার জনয,0
নাটকের নাম  চটি দিতেন যতসব নোংরামি কথাবারতা,0
বালের নাটক কোন ছাগল মহা রাম ছাগলের বাচচা এর পরিচালক,0
এমন সুনদর নাটক আরো চায়,1
খুবই ভালো লাগলো এক কথায় মন ছুঁয়ে গেল,1
এতো এযাড আর চুদলাম না বিরকতিকর,0
এই ফালতি গুলা বাংলা  নাটক কেও ডুবাবে,0
তাসনুবা কে এত বেশি ভাললাগে কেনকরাশের ডিববা একটা,0
নাটক টা শেষটা খুব বিরকতিকর লাগছে,0
এই জিনিসটা খারাপ লাগে শেষে মিল হয় না দুত বাল,0
লাগাইতে চায় তা বৌয়ে বুঝতে চায় না নাদান অবুঝ বৌ,0
দারুণ একটা নাটক পরথম পারট টা ও দেখছি,1
এই নাটক টার ইংরেজি সাবটাইটেল সহ দিলে ভাল হতো,1
নিশু ভাই জোস এক কথাই অসাধারণ,1
এক কথায় অসাধারন ছিল বলে বুঝাতে পারবো না এত ভাল লেগেছে,1
অসাধারণ টা নাটক দেখলামধনযবাদ সবাইকে,1
পরিচালক মনে  হয় গাজা খাইছে  সময়টা  নষট করলাম,0
শুরুটা বাজে শেষ টা অসাধারণ  শেষ ভালো যার সব ভালো তার,1
কুততার নাম  আর মানুষের নাম এক আজব,0
নিশু ভাই আপনের নাটক যত দেখি তত ভাল লাগে সালাম তমায়,1
শেষের অংশটুকু ভালো লাগলো না,0
দেশীয় সটার জলসা চালু হচছে মনে হয়,0
অশলীল কথা ও অঙগভঙগি না করলে আরও ভাল লাগত,0
আমার দেখা সব নাটকের মাঝে এটাই বেসট,1
অনেক সুনদর একটি নাটকনা দেখলে মিস করবেন,1
গলপটা দারুণ হয়েছে নিশো মানে আলাদা কিছু,1
এখনো ভাল লাগছেকয় একদিন পর পর দেখিপরব  আসলে ভাল হয়,1
ভোদার নাটক সবকটা হিজড়া,0
অনেকদিন পর একটা ভাল নাটক দেখলাম,1
বাজারে কি  টেবিল চামচ অাদা বাটা বিকরি করে  লুল,0
বালের নাটক এমবি নষট করলাম,0
অনেক ভাল লাগল কিনতু বড় ছেলের চেয়ে বেশি না,1
শেষ টা খুব সুনদর হয়েছেবিশেষ করে নামাযের উপদেশ টা,1
না বলা অনেক কিছু এই নাটক টির সাথে মিলে যাওয়াভালো লাগলো,1
তিশা এত সামাজিক ডরেস পরা ধরল কবে থেকেভাল লাগল অনেক,1
কি বলবো অপূরব ভাই এর কথা খুব পছনদ করি তোমাকে,1
ভালো থাকুক ভালোবাসা সব সময়,1
আগের মত ভালো লাগেনা বস এর নাটক,0
শাহাব উদদিন শানত কুমিললা পরবাসী এক কথায় অসাধারণ নাটক,1
সতযিই অনেক সুনদর লাগছে নাটকটা,1
মিজানুর রহমান আরিয়ান মানে চমক এক কথায় অসাধারণ নাটক,1
অশালীন ভাষা বযবহার করায় নিকৃষট মান পেয়েছে নাটকটি,0
ডরেসআপশালার জুতা পিডা করতে ইচছা করে,0
শিকষা কিছু নাই বাজে নাটক,0
এক কথায় অসাধারণ ছিল শেষ মুমেমেনট এ সতযি কাননা পাচছিল,1
জাসট অসাধারণ   জন মাদারচোদ ডিসলাইক কি কারণে দিলো ওরা জানে,1
সব মিলিয়ে অসাধারন একটা গলপ,1
অসাধারণ হয়েছে কি বলবো আর,1
তিশা ছাড়া আর কোনো অভিনেতরী নাই অসহয,0
অনেক বেশি ভাল অভিনয়  খুব বেশি ভাল লাগল  অনেক অনেক অনেক সুনদর ,1
নাটকটির মধযে শালিনতার অভাব  কোরতেছি,0
এতটা ফালতু নাটক কেমনে বানান,0
লাইফ এর সাথে অনেক বাজে ভাবে মিলে গেসে,0
এই ধরনের নাটক তো সমাজে অনেক কষতিকারক,0
দারুন দারুন দারুননামাজের বহিপরকাশ টা,1
সতযি অসাধারন  অনেক ভালো লাগলো,1
আমি  বার দেখেছি যত দখছি ততোই ভালো লাগে,1
নাটক টা অসাধারন কিনতু সিগারেট খাওয়া ভালো না,0
অসথির এক কথায় অসাধারণ হইছে,0
ভাই নাইস নাইস তিশা আপুকে আরোনাইস,1
এই নাটকে সবচেয়ে ভালো লাগছে নিশু ভাইয়ের নামাজ পড়ার কথা,1
ভালো লাগছেঅসাধারন একটা নাটক,1
নাটকটা যতটুকু খারাপ ছিল তার থেকে বেশি ভালো ছিল শেষের কথা গুলো,0
নামাজের উপদেশ টা খুব ভালো ছিলো,1
নাটকটার শেষ কোথায় তা আর দেখতে পারলামনা,0
একই ভাঙা কযাসেট কতদিন চলবে,0
ফারহানের একসপরেশন অসাধারণ বাজেপুরাই ফালতু,0
অসাধারণ নাটক খুবই ভালো লাগছে,1
সততি কথায় নাটক টা ওসাদারোন খুব ভালো লাগলো,1
নামাজ পড়ার বিষয়টা ভালো লাগছে,1
ফোন রিসিভ করতে করতে কাপর চেনজ হলো কিভাবে ফালতু,0
পরিচালকের বাপ ও মনে হয় এমন ছিলো  বোকাচোদা,0
আলহামদুলিললাহ নাটকটা দেখে অনেক ভালো,1
নাটকটা মোটামুটি ভালো লাগলো বেশি ভালো না,0
অসাধারণ আর তানজিন তিশা সে তো সে,1
অসাধারণ একটা নাটক অনেক কিছু শেখার আছে,1
বাংলাদেশের শীরষ আবাল নাটকআমার এক ঘনটা জলে গেল,0
তিশার চরিতর টা খুব হারড ছিলো,0
সময় নষটএর থেকে ইনডিয়ান সিরিয়াল জুশ,0
সুনদর একটা নাটক দিয়ার জনয,1
এইটা নাটকের কোন জাত ই হয় নাই,0
মাধার চুদেরা নাটকের মাজে এড যোগ করে,0
কি গালি গুলা দিবোতবে মাইয়া টা বেশি নিরলজজ,0
মাবরুর রশিদ বাননা ভাই সতযি তুমি পরশংসার দাবিদার,1
অসমভব রোমানটিক  অভিনয়  খুবি ভালো ছিল ,1
অসাধারন জুটি  পাসা পাসি অবিনয় সেই লাগে ভাই কুয়েত,1
ছাতরীটার ঢং করে কথা বলাটা ভাল লাগেনি,0
নাটক টা  ছিলো  এর মতো পরায়,1
ফালতু একটা সীমা থাকেএটা সীমা অতিকরম করা ফালতু,0
সরবকালের সরবশরেষঠ বাজে নাটক,0
এভারের সেরা নাটক হবে আফরান নিশো ও তানজিন তিশার,1
একি কাহিনি দিয়ে আর কত নাটক করবেন,0
ভালো লাগার মতো একটি নাটক,1
শবনম ফারিয়া ভাল করে  কথা বলতে পারেনা,0
অশলিলীতায় ভরপুর এসব নাটক করে সমাজ ধবংস হচছে,0
আমার দেখা সেরা পরিচালক আরিয়ান ভাইসব সময় ভালো গলপ হয়,1
দেখার আগেই লাইক দিলাম  কারণ  জানি নাটক টা অনেক অনেক মজা হবে,1
অনেক ভালো লেগেছে তুমি আমারই নাটকটি,1
 মিনিটে এসে আর মজা টা রইলো নাবাকিটা কি হবে কে জানে,1
বাবারা এমোন কেনো শুধু নিজের ভাল চাই,1
এই মলিলা মজার নাটক নসত করে দেই বযবহার অনেক খারাপ,0
বাংলা নাটকের গোয়া মোশাররফ করিম গং রাই মারতাছে,0
অনেক সুনদর নাটক আগে তো জানতাম না সতযাি নাইছ,1
নাটকটি পরশংসা করার মত সব মিলে অসাধারণ নাটকটি,1
ফারিয়া আপুর কাছে অনতত এমন গলপে অভিনয় আশা করিনি,0
সতযি নাটকটা অসাধারণ ছিলদেখে খুব তৃপতি পেলাম,1
লাভ ইউ নিশু ভাইয়া কে কে নিশু ভাইকে ভালবাসো,1
অনেক দিন পর এতো সুনদর একটা নাটক দেখলাম,1
মোশাররফ করিমের এমন নাটকে অভিনয় করা উচিত ছিল না,0
নাটকটা জোস   টা ভাল লাগল না,0
মাদার চোদ পরিচালক সব পালতু সব আঁটিস,0
একটু বেশি নেকামি হয়ে গেল না তিসার,0
আমি একজন করেজি লাভারপরেম করতে করতে ভিততে ডুইকা গেছি,0
নিশোর নাটক দেখে পুরাটা দেখলামযততসব ফালতু নেকামি,0
এটো নাটক হলো লুচচামিতে ভরপুর,0
অসাধারণ ভালোলাগার নাটকশত ভালোবাসা তোমাদের জনয,1
ভালো লাগে নাই নাটক টা,0
আললাহ আমারে এমন একটা লকষমী বউ দিও,1
টা ইডিয়ট ডিসলাইক দিয়েছে আর কিছু বলার নেই,0
শাউয়ার নাটক অযথা সময় নষট,0
নামাজের অংশটা একটা অনয ধরনের ভালোলাগা তৈরি করেছে অসাধারণ ভাইয়া,1
অনেক ভাল লেগেছেসব কিছু গোছানো ছিল,1
অসাধারণ একটা গলপধনযবাদ সবাইকে,1
নাটকটি এত সুনদর আর সবার অভিনয় অনেক নযাচারাল,1
অশলীলতার পরয়োজন নেই বাংলাদেশি নাটকে,0
ফালতু নাটক সময় টায় শুধু নষট,0
অনেক ধনযবাদ এচ সুনদর নাটক উপহার দেয়ার জনয,1
অসাধারণ কিছু বলার ভাসা নেই,1
নামাজের দৃশযটা   খুব ভালো লাগলো,1
বাংলা নাটক দিন দিন বাজে হয়ে যাচছে,0
নাটক টা খুব সুনদর ছিল এরকম নাটক আরে চাই,1
অপূরব মানে আসাধারন কিছু একটা,1
ভাইয়া আপনি যে এতো ভাল নাটক উপহার দিতে পারেন  ,1
এখন নাটকগুলোও পরিবার নিয়ে দেখা যায় না,0
অসমভব সুনদর একটি নাটক অনেক ভাললেগেছে,1
অনেক সুনদর গলপটা  আমার  জীবনের সাথে মিলে গেছে,1
আমার সব বনধু অরপবর নাটক দেখতে ভালোবাসে,1
নাটক টার ভিতরে কোনটা মজার সুনা না দুদু,0
জোশ লাগছে অনেক সুনদর নাটক ধনযবাদ সবাই কে,1
হা হা হানাটকের আগা মাথা কিছুই বুঝলাম না,0
সুনদর একটা নাটক ভালো লাগলো,1
 নাটক মনে হচছে দুদুর তেল লাগবে সোনা মিলার মাঝে নেই,0
যাতা রকমের বাজে একটা হইলেই হইল আরকি,0
নাটক টা মোটেও ভাল লাগে নাই,0
অসাধারণ অসমভব সুনদর একটি নাটক অনুভব করলাম,1
নিশোর অভিনয় এক কথায় অসাধারণ,1
টিক আছে ভাই নামাজ পরার পরামরশ দেওয়া ভাল,1
ভাই এইটা কি নাটকএর চাইতে গরুর রচনা ভালো,0
জয়েন ফেমেলী সুনদর সমাধান চাই,1
তানজিন তিশার অভিনয় খুব ভালে লাগছে   অনেক ধনযবাদ আপুকে,1
নাটকের কাহিনী অসাধারন হয়েছে,1
বাজে একটি নাটক দেখলাম পুরাই ফালতু,0
হাসতে হাসতে শেষ ভালো লাগছে,1
নাটক টা  কিনতু দারুন ছিলো,1
অপূরব সতযি অনেক ওভারসমারট টা ভীষন চরম,1
পরথম দিকে তিশা কে পাগলের মত লাগসে সকুল  ডেইছে,0
অনেক ভাল লাগল নাটকটানীজের জিবনের সাথে কিছুটা মিল পেলাম,1
নাটকে পরকিয়া অভিনয়   দেখানো  দেশকে  খারাপ দিকে ঠেলে দেয়,0
জীবন টা বড়ই সারথপর  আমার জীবন এর গলপ টি এমনি,1
সুনদর একটি নাটক দেওয়ার জনয ধনযবাদ,1
নাটকের মধযে সবচাইতে অশলীল  নাটক  এভাবে সমাজ ধংস,0
আখম হাসানের সকল ধরণের নাটকের অভীনয়ের জনয খুব ভাল মানায়,1
সব     চাইতে       অপূরব        এর        অভিনয়      ভালো       লাগলো,1
মজা পায়লাম আমার এখনিই বাচচা লাগবে,1
আশলিলতায় ভরপুর বাজে নাটক,0
দেখা শুরু করলামঅবশযই ভালো হবে,1
অসাধারণ একটা নাটক আর নাটকের মিউজিক গুলা ও ভালো চিল,1
জীবনের দেখা একটা সেরা নাটক বাসতব জীবনের সাথে মিলের শেষ নাই,1
ধনযবাদ ভাই    এমন সুনদর একটি নাটক দেয়ার জনয,1
অধিকাংশই বানান ভুল করে কমেনটস করেছেএটা দৃষটিকটু,0
লুইচচামির  মারতা বেরেই যাচছে,0
আজ কোনো পুরুষ নিরযাতন কেস নেই বলে৷,0
মেহেজাবিন এর একসটা কেয়ার করাটা একটু ভালো লাগলো না,0
উলজঞ নারী তিশা নেংটা হতে হতে আর কত,0
সুরাইয়া আমার কলিজা  আমি অনেক ভালোবাসি তোরে,1
বালের নাটক  এই সব নষটামি কোন মানেই হয় না,0
কি কমেনট করব কোনো ভাষা খুজে পাচছি নাএক কথায় অসাধারণ,1
সাফার অভিনয় দিনদিন খারাপের দিকে যাচছে,0
ফালতু নাটক গুলোর মধযে অনযতম এই নাটক,0
খুবই সুনদরআমাদের বাংলাদেশের নাটকগুলো সবসময় সুনদর হয়,1
শালা তোরা পাগল এটা কোন নাটক হলো এটা পাগলের কারখানা,0
যত বার দেখি ততবার ভালো লাগে অসাধারণ,1
বোঝেনা  খেত  বোকা নিরবোধ,0
অসাধারণ নাটকরেসপেকট ইউ বস নিশো,1
সতযিই অসাধারণ চোখে পানি চলে আসলো,1
এই বছরের সেরা নাটকআরিয়ান ভাইয়ের কাজগুলো সতযি অসাধারণ,1
খুব খুব খুব ভালো লাগলো,1
গলপটা ভালো হয়েছে আর অভিনয়ের তো কোন জবাব নেই,1
এই সালা একটা পাগলআজাইরা যেতো  কাহিনী,0
অসাধারণ একটা জুটিঅনেক ভাল লাগছে,1
ফালতু নাটক একটা এই কি বানালো,0
গলপের শেষ টা খুব বেদনাদায়ক,0
সতযি বলতে অসধারন অপূরবর সব নাটক দেখার মতো      অপূরব,1
পরিয় নায়ক রিয়াজভালো লাগছে নাটকটা,1
কেমেরা গুরায় না মাথা গুরায়  কী ফালতু নাটক রে দাদা,0
এই সিরিজের সব চেয়ে বাজে নাটক,0
সালা মিউজিক টা গাঢ় মারলো নাটক টার,0
কিছু বুঝলাম না নাটকের মধযে,0
শশুরের অভিনয় ও চেহারা দুইটাই খারাপ,0
বাসতব জীবনের একটা ছোট গলপ  বেশ ভাল লাগল,1
নাটক হলেও অনেক বেশিই বাসতবিকতার ছোঁয়া আছে ভালো লাগছে,1
ফালতু টপিক নিয়ে নাটক বানানো বনধ করুন পলিজ,0
হেড়া নাটকওভার একটিং ফালতু,0
এত ভাল লাগলো বলে বুঝানো যাবেনা,1
ধনযবাদ  শাহানাজ খুশিকে অসধারন অভিনয়  করার জনয,1
ভাই এসব অশলীল ভাবে না বানালে হয়না,0
জোর করে লোক হাসানো ভাঁড়ামি,0
সালা পরিচালকের বাচচা কে  জোতা মারা উচিত সবাই,0
নাটকের নামে বাংলা সংসকৃতিকে বরবাদ করছে,0
এত সুনদর নাটক অনেক দিন পর দেখলাম,1
অসাধারণলাসট পারটটা আরও ভাল লাগলো,1
টাইটেলে সাইনস বানান টাই ভুল  হবে,0
আমার মনে হয় নাটকের ডিরেকটর এবং রাইটার দুইজনে হিজড়া,0
শামিম ভাইয়ের কাছে এমন নাটক আশা করি নি,0
সমাজে এরকম নাটক আমরা চাইনা,0
বিদেশ আছি আপনাদের নাটক দেখে ভাল লাগে,1
অপূরবর নাটক আমার খুব ভালো লাগে,1
অপূরব সিগারেট তোমার সাথে যায় না,0
ভাইরে তোরা বাসতবতার সাথে একটু মিল রাখ,0
আবারো সেরা নিশো  মেহজাবিন জুটি,1
দিন দিন ভাইয়ের নাটক বাজে হচছে,0
বরতমানের ফালতু নাটক ভালো কোনো  নাই,0
আমার দেকা সেরা সুনদন একটি নাটক অনেক বার দেকেছি  খুব ভাললাগে,1
জেরিনের বাবার উচিত হয়নি আয়নের সাথে যোগাযোগ করা,1
অনেক দিন পর বসের নাটক দেখলাম আর পরান ভরে হাসলাম,0
মিজানুর রহমান আরিয়ান ভাই আপনার পরিচালনা অসাধারণ লাগে,1
কথায় কথায় এতো ইংরেজি সুধাইলে বাংলা ভাষার জনয পরান দেয়ার কি ধরকার ছিল,0
নাটকে এভাবে ধরাধরি  ঠিক না তাতে  পরিবার সহ দেখা যায় না,0
নাটকের কহিনি ভাল লেগেছে   নাটকের নাম বযচ  কেন,1
এটা কোন নাটক হল পুরো একটা ফালতু নাটক,0
খুবই সুনদর মন ছুয়ে গেলো,1
ভারত থেকে বলছি খুবই সুনদর নাটক দেখলাম একটা,1
অনেক নাটক দেখলাম এই রকম ফালতু নাটক দেখিনি,0
তিশার পোশাক গুলো বাজে ছিলো এটা মেনে নিতে পারলাম না,0
মোসাররফ করিমের চেহারা এখন হিজরা হিজরা লাগে,0
এতো নোংরা ভাষায় নাটক না করলেই কি নয়,0
বসতি তিশামারা খাওয়া এমন কেনদেখতে,0
মুসুললির অভাব নাই   নামাজের সময় মাসজিদ ফাকা,0
মোশাররফ করিমের সব খোর নাটক গুলাই বাজে,0
মিজান ভাইয়ের কাজ বর বরেই ভালো হয়,1
মোশাররফ করিমের অভিনয়ে সেই আগের মত ধার নাই,0
